customer_id,loyalty_score,purchase_count,product_id,product_category
C2,4,1,P40,irn bru
C6,10,2,P50,camembert
C6,10,2,P47,whole chicken
C9,8,2,P62,gin
C9,8,2,P62,gin
C13,8,1,P39,ice cream
C18,8,3,P15,jumper
C18,8,3,P20,women's blouse
C18,8,3,P21,women's red dress
C19,6,1,P05,scented candles
C24,6,2,P22,avocado
C24,6,2,P22,avocado
C29,7,1,P27,potatoes
C30,4,3,P12,ice pack
C30,4,3,P07,cling film
C30,4,3,P04,shower gel
C39,2,1,P64,cigarettes
C42,2,3,P30,mango
C42,2,3,P23,cherries
C42,2,3,P25,peppers
C47,2,3,P30,mango
C47,2,3,P31,lemon grass
C47,2,3,P29,easy peeler
C48,4,1,P01,detergent
C50,8,2,P63,cognac
C50,8,2,P63,cognac
C51,3,3,P56,greek yoghurt
C51,3,3,P43,mince beef
C51,3,3,P47,whole chicken
C52,1,1,P51,pizza
C54,2,1,P37,gummy bears
C59,6,3,P62,gin
C59,6,3,P63,cognac
C59,6,3,P64,cigarettes
C65,2,1,P02,kitchen roll
C70,9,1,P42,chicken
C71,8,2,P43,mince beef
C71,8,2,P41,steak
C76,10,2,P48,tuna
C76,10,2,P58,coconut water
C81,7,1,P10,kitchen knife
C91,3,2,P10,kitchen knife
C91,3,2,P12,ice pack
C100,8,1,P22,avocado
C101,2,2,P16,men's belt
C101,2,2,P16,men's belt
C106,5,1,P56,greek yoghurt
C112,3,1,P31,lemon grass
C116,5,3,P26,broccoli
C116,5,3,P25,peppers
C116,5,3,P29,easy peeler
C122,10,1,P51,pizza
C123,3,1,P33,apples
C125,1,2,P04,shower gel
C125,1,2,P02,kitchen roll
C129,7,3,P02,kitchen roll
C129,7,3,P11,dishwasher tablets
C129,7,3,P12,ice pack
C136,10,1,P06,fabric softener
