tailnum,sum,,,,"SELECT b.tailnum, SUM(CAST(a.air_time AS INTEGER))"
N727TW,2019,,,,"FROM planes b, flights a "
N512UA,2009,,,,where b.tailnum = a.tailnum
N705TW,2008,,,,and a.air_time != 'NA'
N711ZX,2005,,,,GROUP BY b.tailnum
N517UA,2004,,,,ORDER BY 2 DESC
N336AA,2002,,,,LIMIT 1;
N804JB,1994,,,,
N323AA,1983,,,,
N380HA,1913,,,,
N652JB,1886,,,,
N76065,1879,,,,
N338AA,1802,,,,
N324AA,1760,,,,
N723TW,1739,,,,
N593JB,1737,,,,
N713TW,1735,,,,
N712TW,1728,,,,
N508UA,1702,,,,
N328AA,1695,,,,
N332AA,1686,,,,
N557UA,1677,,,,
N779JB,1635,,,,
N523JB,1629,,,,
N38727,1589,,,,
N279JB,1584,,,,
N599JB,1509,,,,
N603JB,1427,,,,
N703TW,1423,,,,
N192JB,1409,,,,
N556JB,1407,,,,
N855VA,1403,,,,
N325AA,1401,,,,
N766JB,1399,,,,
N554UA,1392,,,,
N626VA,1378,,,,
N552JB,1376,,,,
N836VA,1375,,,,
N505UA,1375,,,,
N203JB,1370,,,,
N518UA,1367,,,,
N796JB,1364,,,,
N339AA,1364,,,,
N718TW,1361,,,,
N536JB,1360,,,,
N624AG,1356,,,,
N327AA,1351,,,,
N807JB,1340,,,,
N319AA,1336,,,,
N534JB,1334,,,,
N624JB,1323,,,,
N579JB,1315,,,,
N339NB,1311,,,,
N583JB,1288,,,,
N559JB,1287,,,,
N558JB,1285,,,,
N711MQ,1270,,,,
N281JB,1259,,,,
N516JB,1257,,,,
N508JB,1251,,,,
N529JB,1249,,,,
N665JB,1246,,,,
N784JB,1220,,,,
N198JB,1200,,,,
N635JB,1196,,,,
N625JB,1192,,,,
N618JB,1192,,,,
N590JB,1189,,,,
N729JB,1184,,,,
N809JB,1178,,,,
N39726,1167,,,,
N632JB,1164,,,,
N273JB,1156,,,,
N645JB,1140,,,,
N13123,1137,,,,
N33289,1133,,,,
N3743H,1128,,,,
N612JB,1116,,,,
N641JB,1114,,,,
N637JB,1110,,,,
N39728,1096,,,,
N27724,1089,,,,
N570JB,1089,,,,
N658JB,1086,,,,
N13914,1082,,,,
N635VA,1070,,,,
N524JB,1050,,,,
N249JB,1050,,,,
N568JB,1047,,,,
N17229,1039,,,,
N588JB,1039,,,,
N737MQ,1032,,,,
N592JB,1032,,,,
N847VA,1031,,,,
N722TW,1030,,,,
N451UA,1028,,,,
N638VA,1027,,,,
N327NW,1024,,,,
N521JB,1020,,,,
N12116,1010,,,,
N510UA,1006,,,,
N636JB,1005,,,,
N657JB,997,,,,
N646JB,994,,,,
N641VA,991,,,,
N589JB,987,,,,
N521UA,981,,,,
N75429,979,,,,
N18112,964,,,,
N969DL,963,,,,
N661JB,961,,,,
N342NB,961,,,,
N402UA,954,,,,
N633JB,950,,,,
N789JB,950,,,,
N569JB,949,,,,
N775JB,948,,,,
N12567,943,,,,
N488UA,941,,,,
N3764D,936,,,,
N399DA,934,,,,
N510JB,930,,,,
N607JB,927,,,,
N375DA,922,,,,
N12216,922,,,,
N597JB,916,,,,
N34110,915,,,,
N77258,913,,,,
N76522,912,,,,
N76503,910,,,,
N629JB,907,,,,
N76504,899,,,,
N706JB,897,,,,
N659JB,895,,,,
N506JB,892,,,,
N922DL,891,,,,
N184JB,887,,,,
N362NW,887,,,,
N35204,886,,,,
N33714,886,,,,
N3769L,885,,,,
N511UA,883,,,,
N346JB,877,,,,
N378NW,876,,,,
N267JB,876,,,,
N14916,871,,,,
N482UA,869,,,,
N847UA,869,,,,
N3734B,864,,,,
N646DL,863,,,,
N591JB,856,,,,
N594JB,853,,,,
N296JB,852,,,,
N709JB,850,,,,
N794JB,848,,,,
N76515,848,,,,
N793JB,848,,,,
N216JB,842,,,,
N547JB,842,,,,
N564JB,841,,,,
N454UA,838,,,,
N17108,838,,,,
N493UA,837,,,,
N327NB,834,,,,
N23708,831,,,,
N370NW,820,,,,
N34137,820,,,,
N3768,819,,,,
N651JB,819,,,,
N679DA,816,,,,
N648JB,816,,,,
N14542,810,,,,
N14972,810,,,,
N702TW,803,,,,
N39463,799,,,,
N29129,797,,,,
N563JB,792,,,,
N585JB,785,,,,
N26226,783,,,,
N997DL,779,,,,
N760JB,777,,,,
N15910,777,,,,
N21537,776,,,,
N602LR,776,,,,
N926DL,771,,,,
N710TW,766,,,,
N24702,765,,,,
N584JB,762,,,,
N358NB,760,,,,
N3752,760,,,,
N514UA,759,,,,
N33284,757,,,,
N319NB,756,,,,
N3745B,751,,,,
N320NB,751,,,,
N336NB,750,,,,
N663JB,749,,,,
N563UA,745,,,,
N14214,738,,,,
N38403,737,,,,
N54241,734,,,,
N16561,733,,,,
N541UW,730,,,,
N845UA,729,,,,
N421UA,727,,,,
N389DA,725,,,,
N849VA,723,,,,
N13718,720,,,,
N178JB,718,,,,
N25705,717,,,,
N387DA,711,,,,
N721TW,708,,,,
N309JB,708,,,,
N304JB,707,,,,
N76528,706,,,,
N708JB,706,,,,
N353JB,702,,,,
N627VA,702,,,,
N45440,701,,,,
N639JB,701,,,,
N228JB,701,,,,
N569AA,700,,,,
N555UA,698,,,,
N615JB,697,,,,
N307JB,697,,,,
N631AA,697,,,,
N846VA,697,,,,
N625VA,696,,,,
N648AW,695,,,,
N21144,694,,,,
N11206,693,,,,
N539UA,691,,,,
N39297,690,,,,
N502UA,690,,,,
N17730,689,,,,
N541UA,688,,,,
N335NB,687,,,,
N535JB,684,,,,
N565JB,683,,,,
N324NB,682,,,,
N334NB,680,,,,
N628VA,679,,,,
N717TW,678,,,,
N649AW,677,,,,
N806JB,676,,,,
N3756,676,,,,
N580JB,675,,,,
N640VA,675,,,,
N318NB,674,,,,
N553AS,674,,,,
N623VA,673,,,,
N294JB,672,,,,
N839VA,671,,,,
N373AA,671,,,,
N634VA,670,,,,
N16546,668,,,,
N3760C,668,,,,
N531JB,667,,,,
N445UA,665,,,,
N504JB,664,,,,
N13969,663,,,,
N552AS,659,,,,
N629VA,659,,,,
N33266,659,,,,
N624VA,658,,,,
N33182,656,,,,
N631VA,655,,,,
