dest,?column?,,,,"SELECT dest, (SUM(CAST(dep_delay AS INTEGER)) + SUM(CAST(arr_delay AS INTEGER)))"
ORD,3644,,,,FROM flights
MCO,3275,,,,where dep_delay != 'NA' AND arr_delay != 'NA'
FLL,2997,,,,GROUP BY dest
BWI,2607,,,,ORDER BY 2 DESC
BUF,2538,,,,LIMIT 1;
DFW,2516,,,,
CVG,2503,,,,
BNA,2323,,,,
DCA,2192,,,,
IAD,2168,,,,
PBI,1994,,,,
MCI,1889,,,,
ATL,1875,,,,
TPA,1737,,,,
IAH,1640,,,,
BTV,1574,,,,
DEN,1569,,,,
PIT,1456,,,,
RDU,1433,,,,
SAV,1380,,,,
CLT,1357,,,,
RIC,1285,,,,
MIA,1257,,,,
PWM,1132,,,,
MSP,1052,,,,
OMA,977,,,,
SJU,971,,,,
GRR,926,,,,
MKE,921,,,,
DAY,889,,,,
STL,885,,,,
MSY,843,,,,
MEM,827,,,,
GSO,815,,,,
RSW,798,,,,
DTW,791,,,,
ROC,777,,,,
CMH,716,,,,
MHT,714,,,,
PHX,677,,,,
JAX,673,,,,
MDW,661,,,,
ALB,604,,,,
HOU,596,,,,
BQN,560,,,,
SYR,540,,,,
AUS,507,,,,
SFO,485,,,,
OKC,465,,,,
TYS,459,,,,
SDF,433,,,,
CLE,423,,,,
IND,419,,,,
GSP,394,,,,
BDL,389,,,,
MYR,359,,,,
DSM,344,,,,
EGE,332,,,,
OAK,284,,,,
BOS,251,,,,
CRW,230,,,,
SAT,193,,,,
BUR,192,,,,
PHL,190,,,,
TUL,188,,,,
CHS,161,,,,
SRQ,138,,,,
MSN,131,,,,
XNA,117,,,,
AVL,98,,,,
EYW,58,,,,
CAE,51,,,,
PVD,51,,,,
BZN,34,,,,
SNA,23,,,,
JAC,19,,,,
SMF,8,,,,
BHM,6,,,,
PSP,-12,,,,
STT,-15,,,,
MTJ,-19,,,,
HNL,-19,,,,
HDN,-25,,,,
PDX,-28,,,,
PSE,-50,,,,
CAK,-76,,,,
SJC,-79,,,,
ORF,-113,,,,
LGB,-192,,,,
SAN,-197,,,,
SEA,-259,,,,
SLC,-496,,,,
LAS,-915,,,,
LAX,-1335,,,,
