manufacturer,sum,,,,"SELECT a.manufacturer, SUM(b.distance)"
BOEING,1644180,,,,"FROM planes a, flights b where a.tailnum = b.tailnum"
AIRBUS,960573,,,,GROUP BY a.manufacturer
AIRBUS INDUSTRIE,552390,,,,ORDER BY 2 DESC
EMBRAER,443227,,,,LIMIT 1;
BOMBARDIER INC,142797,,,,
MCDONNELL DOUGLAS AIRCRAFT CO,111050,,,,
MCDONNELL DOUGLAS,56081,,,,
CESSNA,10537,,,,
MCDONNELL DOUGLAS CORPORATION,10445,,,,
GULFSTREAM AEROSPACE,9318,,,,
CIRRUS DESIGN CORP,8173,,,,
BARKER JACK L,4595,,,,
ROBINSON HELICOPTER CO,4142,,,,
FRIEDEMANN JON,4116,,,,
CANADAIR,3886,,,,
PAIR MIKE E,2446,,,,
PIPER,2354,,,,
BEECH,1598,,,,
HURLEY JAMES LARRY,1372,,,,
MARZ BARRY,1372,,,,
CANADAIR LTD,854,,,,
LAMBERT RICHARD,733,,,,
